column,dtype,n_records,n_non_null,n_missing,missing_pct,n_unique,uniqueness_pct,min,max,mean,median,std,variance,Q1,Q3,IQR,p1,p5,p25,p50,p75,p95,p99
field_id,object,1625,1625,0,0.0,90,5.538,,,,,,,,,,,,,,,,
date_of_image,object,1625,1625,0,0.0,25,1.538,,,,,,,,,,,,,,,,
latitude,float64,1625,1625,0,0.0,90,5.538,9.801727165,34.38346153,20.951964163748304,22.34393983,6.797999639737888,46.21279910187646,15.12004379,26.70654183,11.586498039999999,9.801727165,10.03287404,15.12004379,22.34393983,26.70654183,30.87054253,34.38346153
longitude,float64,1625,1625,0,0.0,90,5.538,73.08389026,93.34137759,78.04633266419691,77.319258,3.9881135696976138,15.905049844806245,75.94138105,79.4899811,3.5486000499999903,73.08389026,73.24685881,75.94138105,77.319258,79.4899811,88.17990102,93.26102265479999
NDVI,float64,1625,1625,0,0.0,1588,97.723,-1.0,0.835025349,0.361759442192,0.36132531,0.21872157381948668,0.047839126854073155,0.237235611,0.504559449,0.26732383800000004,-0.23505413468,-0.0401595898,0.237235611,0.36132531,0.504559449,0.7095315793999999,0.795712002
GNDVI,float64,1625,1625,0,0.0,1588,97.723,-1.0,0.746485705,0.37468423101292303,0.412268809,0.23074466185451248,0.0532430989743533,0.302929891,0.517085155,0.21415526399999996,-0.48454772867999996,-0.07185394699999999,0.302929891,0.412268809,0.517085155,0.649086304,0.71350769352
NDWI,float64,1625,1625,0,0.0,1588,97.723,-0.746485705,1.0,-0.37468423101292303,-0.412268809,0.23074466185451248,0.0532430989743533,-0.517085155,-0.302929891,0.21415526399999996,-0.71350769352,-0.649086304,-0.517085155,-0.412268809,-0.302929891,0.07185394699999992,0.48454772867999996
SAVI,float64,1625,1625,0,0.0,1588,97.723,-1.495781357,1.252285906,0.5425820491138462,0.541908821,0.32797661856055865,0.1075686623224182,0.355865161,0.75666929,0.40080412900000006,-0.35231525984,-0.0602106682,0.355865161,0.541908821,0.75666929,1.0641028865999997,1.193434218
soil_moisture,float64,1625,1625,0,0.0,1588,97.723,4.433630836,102.1287412,28.23046768492062,26.23779642,13.855960880398676,191.98765191913847,19.53517345,33.29573557,13.76056212,6.48266437972,10.85544228,19.53517345,26.23779642,33.29573557,55.178488419999994,78.62331599999999
temperature,float64,1625,1625,0,0.0,1625,100.0,-4.790524835,44.9791969,19.909141412864,19.98210869,9.830493643937682,96.63860528349919,12.58819336,26.18125761,13.59306425,-1.2456163299599998,5.4467884982,12.58819336,19.98210869,26.18125761,37.816748401999995,43.2414512684
rainfall,float64,1625,1625,0,0.0,1446,88.985,0.243661424,93.36748287,9.561970757569846,8.008840563,5.112399835109809,26.1366320740308,6.270283373,13.09468481,6.824401437000001,2.0678293854,4.905026774,6.270283373,8.008840563,13.09468481,16.170463427999998,20.7766615692
crop_type,object,1625,1625,0,0.0,30,1.846,,,,,,,,,,,,,,,,
yield,float64,1625,1625,0,0.0,1198,73.723,26.85375119,89.29341741,40.493209750689225,40.75009796,8.174425166917409,66.8212268095327,33.19682839,46.10206935,12.90524096,27.8494473884,29.015405128,33.19682839,40.75009796,46.10206935,54.69860819,58.5353352844
